,user_id,movie_id,score
0,68664,27390,4
1,14233,30431,3
2,11824,24982,4
3,62792,43734,5
4,87954,46902,4
5,109038,102691,3
6,54683,15659,4
7,130809,72473,3
8,115895,922,4
9,73264,222858,4
10,35433,176241,3
11,99629,56256,4
12,133114,76338,3
13,1659,54186,5
14,42704,31462,3
15,33873,29592,3
16,112609,15709,4
17,118884,11139,4
18,33769,84175,5
19,37975,8618,4
20,118133,15824,4
21,22395,582,5
22,47978,63858,3
23,12138,20545,2
24,110126,278334,4
25,99091,170767,3
26,65390,37627,3
27,40420,39988,4
28,125394,11614,4
29,90268,28131,4
30,1285,105077,4
31,59250,1412,4
32,44662,121691,3
33,2227,21585,4
34,93858,68189,3
35,68577,122348,4
36,44760,149085,4
37,86217,158091,4
38,19652,117678,4
39,2063,64973,4
40,84336,39282,3
41,138254,312813,4
42,108199,27094,4
43,10296,1890,3
44,38605,27245,3
45,117797,879,3
46,89323,17113,5
47,111939,22556,4
48,98610,41120,4
49,27536,28666,3
50,8158,51179,2
51,137297,27016,4
52,114805,84317,3
53,76165,17689,3
54,7702,26259,4
55,72642,38850,4
56,35963,49980,4
57,45946,32617,3
58,59521,47259,4
59,105915,78705,5
60,66955,21386,3
61,56540,121791,4
62,6608,42701,5
63,10101,20539,3
64,117495,234155,4
65,33386,44626,4
66,132878,90770,3
67,50791,91426,4
68,71154,91549,4
69,71154,91549,4
70,71154,91549,4
71,55210,8358,4
72,55210,8358,4
73,50791,91426,4
74,50791,91426,4
75,118579,10440,3
76,117811,32407,4
77,118579,10440,3
78,118579,10440,3
79,24378,7992,3
80,24378,7992,3
81,24378,7992,3
82,71154,91549,4
83,71154,91549,4
84,55210,8358,4
85,117811,32407,4
86,55210,8358,4
87,24378,7992,3
88,50791,91426,4
89,50791,91426,4
90,117811,32407,4
91,117811,32407,4
92,24378,7992,3
93,117811,32407,4
94,71154,91549,4
95,71154,91549,4
96,117811,32407,4
97,55210,8358,4
98,24378,7992,3
99,50791,91426,4
100,50791,91426,4
101,117811,32407,4
102,118579,10440,3
103,55210,8358,4
104,118579,10440,3
105,50791,91426,4
106,24378,7992,3
107,118579,10440,3
108,71154,91549,4
109,24378,7992,3
110,71154,91549,4
111,71154,91549,4
112,50791,91426,4
113,55210,8358,4
114,55210,8358,4
115,50791,91426,4
116,117811,32407,4
117,50791,91426,4
118,24378,7992,3
119,24378,7992,3
120,71154,91549,4
121,50791,91426,4
122,71154,91549,4
123,117811,32407,4
124,55210,8358,4
125,50791,91426,4
126,50791,91426,4
127,50791,91426,4
128,118579,10440,3
129,117811,32407,4
130,118579,10440,3
131,117811,32407,4
132,24378,7992,3
133,71154,91549,4
134,117811,32407,4
135,24378,7992,3
136,50791,91426,4
137,118579,10440,3
138,50791,91426,4
139,24378,7992,3
140,117811,32407,4
141,24378,7992,3
142,71154,91549,4
143,50791,91426,4
144,71154,91549,4
145,71154,91549,4
146,117811,32407,4
147,55210,8358,4
148,50791,91426,4
149,55210,8358,4
150,117811,32407,4
151,117811,32407,4
152,24378,7992,3
153,117811,32407,4
154,24378,7992,3
155,71154,91549,4
156,71154,91549,4
157,118579,10440,3
158,55210,8358,4
159,50791,91426,4
160,118579,10440,3
161,117811,32407,4
162,118579,10440,3
163,117811,32407,4
164,24378,7992,3
165,24378,7992,3
166,118579,10440,3
167,117811,32407,4
168,24378,7992,3
169,71154,91549,4
170,71154,91549,4
171,55210,8358,4
172,50791,91426,4
173,118579,10440,3
174,118579,10440,3
175,117811,32407,4
176,118579,10440,3
177,117811,32407,4
178,24378,7992,3
179,24378,7992,3
180,55210,8358,4
181,71154,91549,4
182,118579,10440,3
183,55210,8358,4
184,50791,91426,4
185,24378,7992,3
186,55210,8358,4
187,50791,91426,4
188,117811,32407,4
189,50791,91426,4
190,117811,32407,4
191,71154,91549,4
192,117811,32407,4
193,55210,8358,4
194,55210,8358,4
195,50791,91426,4
196,24378,7992,3
197,50791,91426,4
198,117811,32407,4
199,118579,10440,3
200,117811,32407,4
201,55210,8358,4
202,50791,91426,4
203,24378,7992,3
204,24378,7992,3
205,118579,10440,3
206,117811,32407,4
207,24378,7992,3
208,55210,8358,4
209,50791,91426,4
210,24378,7992,3
211,117811,32407,4
212,118579,10440,3
213,50791,91426,4
214,24378,7992,3
215,117811,32407,4
