batch_process_res
That's all, folks
batch_process_res
Records: user data: 1 | user info: 1 | movie info: 1 | rating list: 0 | recommendation list: 0
Records: user data: 2 | user info: 2 | movie info: 1 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
Records: user data: 3 | user info: 3 | movie info: 2 | rating list: 0 | recommendation list: 0
